Method,Notebook ID,,,,,,,
,Version #,,,,,,,
,Lines,,,,,,,
,,,,,,,,
Remove URL,1,,,,,,,
,latest,,,,,,,
,221-229,,,,,,,
Remove HTML tags,1,,,,,,,
,latest,,,,,,,
,235-245,,,,,,,
Remove Emoji,1,,,,,,,
,latest,,,,,,,
,250-265,,,,,,,
Remove Punctuations,1,17,,,,,,
,latest,latest,,,,,,
,269-276,376-419,,,,,,
Spelling Correction,1,,,,,,,
,latest,,,,,,,
,285-302,,,,,,,
Filter Stopwords,1,,,,,,,
,latest,,,,,,,
,311,,,,,,,
Filter non-string words,1,17,,,,,,
,latest,latest,,,,,,
,311,165,,,,,,
Convert Image Size,11,,,,,,,
,latest,,,,,,,
,85-56,,,,,,,
Create model to generate meta data,11,17,,,,,,
,latest,latest,,,,,,
,138-405,433-452,,,,,,
Data Aggregation (Include Mean/Avg/Max/Min/Med/Sum),16,17,19,21,23,28,30,
,latest,latest,latest,latest,latest,latest,latest,
,46-60,257-313,785-795,499-510,144-155,194-282,343-380,
Include Var Rank,16,,,,,,,
,latest,,,,,,,
,44,,,,,,,
Break down timestamp data,17,30,32,,,,,
,latest,latest,latest,,,,,
,63-66,279-309,385-392,,,,,
Add one-hot feature,17,30,33,,,,,
,latest,latest,latest,,,,,
,181-184,312-319,152-157,,,,,
Concat strings (e.g. trigram),17,,,,,,,
,latest,,,,,,,
,196-204,,,,,,,
Data Smoothing based on mean,17,,,,,,,
,latest,,,,,,,
,314-371,,,,,,,
Fill missing data,17,32,33,,,,,
,latest,latest,latest,,,,,
,231-233,443-455,120-121,,,,,
Remove Constant Features,18,,,,,,,
,latest,,,,,,,
,64-81,,,,,,,
Remove Duplicate Columns/Data,18,32,,,,,,
,latest,latest,,,,,,
,82-106,77-88,,,,,,
Drop Sparse Data,18,,,,,,,
,latest,,,,,,,
,117-128,,,,,,,
Drop unrelated features,19,28,33,,,,,
,latest,latest,latest,,,,,
,770-778,286,274-278,,,,,
Round Data,21,,,,,,,
,latest,,,,,,,
,551-558,,,,,,,
Remove Outliers,32,,,,,,,
,latest,,,,,,,
,57-71,,,,,,,
Introduce new features based on existing features,32,33,34,,,,,
,latest,latest,latest,,,,,
,360--380,145-149,124-135,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
