Round Data, ,,,
,,,,
Include Var Rank, ,,,
,,,,
Filter Stopwords, ,,,
,,,,
Concat strings (e.g. trigram), ,,,
,,,,
Data Smoothing based on mean, ,,,
,,,,
Create model to generate meta data, ,,,
,,,,
Introduce new features based on existing features, ,,,
,,,,
Add one-hot feature, ,,,
,,,,
Remove Outliers, ,,,
,,,,
Data Aggregation (Include Mean/Avg/Max/Min/Med/Sum), ,,,
,,,,
Mask,103,137,139,
,101-113,157-170,80-89,
Images to rle,103,137,139,
,123-133,79-104,56-69,
"Image Agumentation (Include flip/oneof/brightness/saturation)",103,122,128,140
,204-214,195-235,330-337,262-338
OverSampling,105,,,
,70-90,,,
Colorspace transformation,109,114,,
,194-226,200-228,,
Cosine similarity/dissimilarity,109,114,,
,117-120,116-137,,
Undersample,139,,,
,113-117,,,
