Note,title,username,displayname,versionnumber,totallines,competitionTitle,competitionSubTitle,,,Notebook ID,,,,
,Protein Atlas - Exploration and Baseline,allunia,Laura Fink,208,1299,Human Protein Atlas Image Classification,Classify subcellular protein patterns in human cells,,,101,baseline for ppl to fork,,,
,Lyft Competition : Understanding the data,tarunpaparaju,Tarun Paparaju,53,2769,Lyft 3D Object Detection for Autonomous Vehicles,Can you advance the state of the art in 3D object detection?,,,102,,,,analyzed already
https://www.kaggle.com/code/artgor/segmentation-in-pytorch-using-convenient-tools/notebook,Segmentation in PyTorch using convenient tools,artgor,Andrew Lukyanenko,31,586,Understanding Clouds from Satellite Images,Can you classify cloud structures from satellites?,,,103,,,,invalid
https://www.kaggle.com/code/nxrprime/siim-d3-eda-augmentations-and-resnext/notebook,SIIM: d3 EDA | Augmentations and ResNeXt,nxrprime,Trigram,146,2365,SIIM-ISIC Melanoma Classification,Identify melanoma in lesion images,,,104,skipped for now due to version number,,,valid
https://www.kaggle.com/code/iafoss/pretrained-resnet34-with-rgby-0-460-public-lb/notebook,pretrained ResNet34 with RGBY (0.460 public LB),iafoss,Iafoss,24,471,Human Protein Atlas Image Classification,Classify subcellular protein patterns in human cells,,,105,,,,
,GAN Introduction,jesucristo,Nanashi,14,857,Generative Dog Images,Experiment with creating puppy pics,,,106,"tutorial, should filter ""introduction"" as well**",,,
https://www.kaggle.com/code/nroman/melanoma-pytorch-starter-efficientnet/notebook,Melanoma. Pytorch starter. EfficientNet,nroman,Roman,25,436,SIIM-ISIC Melanoma Classification,Identify melanoma in lesion images,,,107,,,,
,Analysis of Melanoma Metadata and EffNet Ensemble,datafan07,ErtuÄŸrul Demir,24,2187,SIIM-ISIC Melanoma Classification,Identify melanoma in lesion images,,,108,,,,
https://www.kaggle.com/code/tanulsingh077/steganalysis-complete-understanding-and-model/notebook,Steganalysis : Complete Understanding and Model,tanulsingh077,Mr_KnowNothing,11,401,ALASKA2 Image Steganalysis,Detect secret data hidden within digital images,,,109,,,,
,Don't turn into a Smoothie after the Shake-Up,allunia,Laura Fink,275,1834,SIIM-ISIC Melanoma Classification,Identify melanoma in lesion images,,,110,,,,
,Baseline U-Net Model (Part 1),kmader,K Scott Mader,16,438,Airbus Ship Detection Challenge,Find ships on satellite images as quickly as possible,,,111,,,,
,How to attack a machine learning model?,allunia,Laura Fink,68,620,NIPS 2017: Non-targeted Adversarial Attack,Imperceptibly transform images in ways that fool classification models,,,112,,,,
,How to attack a machine learning model?,allunia,Laura Fink,68,620,NIPS 2017: Targeted Adversarial Attack,Develop an adversarial attack that causes image classifiers to predict a specific target class,,,113,,,,
https://www.kaggle.com/code/andradaolteanu/alaska2-competition-multiclass-pytorch-effnetb2/notebook,â„ALASKA2 Competition: Multiclass PyTorch EffNetB2,andradaolteanu,Andrada Olteanu,11,977,ALASKA2 Image Steganalysis,Detect secret data hidden within digital images,,,114,,,,
https://www.kaggle.com/code/aleksandradeis/understanding-clouds-eda/notebook,Understanding Clouds EDA,aleksandradeis,Aleksandra Deis,13,858,Understanding Clouds from Satellite Images,Can you classify cloud structures from satellites?,,,115,"EDA only, no model",,,
,Uncover target correlations with Bernoulli Mixture,allunia,Laura Fink,156,701,Human Protein Atlas Image Classification,Classify subcellular protein patterns in human cells,,,116,,,,
,U-Net Model with submission,hmendonca,Henrique MendonÃ§a,31,504,Airbus Ship Detection Challenge,Find ships on satellite images as quickly as possible,,,117,,,,
https://www.kaggle.com/code/bkamphaus/exploratory-image-analysis/notebook,Exploratory Image Analysis,bkamphaus,Ben Kamphaus,12,925,Draper Satellite Image Chronology,Can you put order to space and time?,,,118,"unfinished script, built a model but did not train ",,,
,EDA: understanding the dataset with 3D plots,rishabhiitbhu,Rishabh Agrahari,33,565,Lyft 3D Object Detection for Autonomous Vehicles,Can you advance the state of the art in 3D object detection?,,,119,,,,
,Overview of popular Image Augmentation packages,parulpandey,Parul Pandey,17,824,Plant Pathology 2020 - FGVC7,Identify the category of foliar diseases in apple trees,,,120,,,,
,[TF.Keras] Melanoma Classification Starter | TabNet,ipythonx,M.Innat,14,957,SIIM-ISIC Melanoma Classification,Identify melanoma in lesion images,,,121,,,,
https://www.kaggle.com/code/hmendonca/melanoma-neat-pytorch-lightning-native-amp/notebook,âš¡âš¡Melanoma: neat PyTorch Lightningâš¡âš¡ native AMP,hmendonca,Henrique MendonÃ§a,11,463,SIIM-ISIC Melanoma Classification,Identify melanoma in lesion images,,,122,,,,
,Turbo Charging Andrew's Pytorch,ryches,ryches,22,665,Understanding Clouds from Satellite Images,Can you classify cloud structures from satellites?,,,123,,,,
,GroupKFold and Stratified GroupKFold Efficientnet,reighns,Hongnan Gao,25,876,SIIM-ISIC Melanoma Classification,Identify melanoma in lesion images,,,124,,,,
,Pytorch TPU Transfer Learning Baseline,mobassir,Mobassir,21,555,ALASKA2 Image Steganalysis,Detect secret data hidden within digital images,,,125,,,,
,Dog Breed ACGAN - [LB 52],cdeotte,Chris Deotte,17,730,Generative Dog Images,Experiment with creating puppy pics,,,126,,,,
,SIIM: Data Augmentation in TF: Hair + Batch Affine,graf10a,Alexey Pronin,13,977,SIIM-ISIC Melanoma Classification,Identify melanoma in lesion images,,,127,,,,
https://www.kaggle.com/code/mobassir/in-depth-melanoma-with-modeling/notebook,In-Depth Melanoma with modeling,mobassir,Mobassir,11,840,SIIM-ISIC Melanoma Classification,Identify melanoma in lesion images,,,128,,,,
