title, username, displayname, versionnumber, totallines, competitionTitle, competitionSubTitle,,
Protein Atlas - Exploration and Baseline, allunia, Laura Fink,208,1299, Human Protein Atlas Image Classification, Classify subcellular protein patterns in human cells,,
Lyft Competition : Understanding the data, tarunpaparaju, Tarun Paparaju,53,2769, Lyft 3D Object Detection for Autonomous Vehicles, Can you advance the state of the art in 3D object detection?,,
Segmentation in PyTorch using convenient tools, artgor, Andrew Lukyanenko,31,586, Understanding Clouds from Satellite Images, Can you classify cloud structures from satellites?,,
SIIM: d3 EDA |  Augmentations and ResNeXt, nxrprime, Trigram,146,2365, SIIM-ISIC Melanoma Classification, Identify melanoma in lesion images,,
pretrained ResNet34 with RGBY (0.460 public LB), iafoss, Iafoss,24,471, Human Protein Atlas Image Classification, Classify subcellular protein patterns in human cells,,
GAN Introduction, jesucristo, Nanashi,14,857, Generative Dog Images, Experiment with creating puppy pics,,
Melanoma. Pytorch starter. EfficientNet, nroman, Roman,25,436, SIIM-ISIC Melanoma Classification, Identify melanoma in lesion images,,
Analysis of Melanoma Metadata and EffNet Ensemble, datafan07, Ertuğrul Demir,24,2187, SIIM-ISIC Melanoma Classification, Identify melanoma in lesion images,,
Steganalysis : Complete Understanding and Model, tanulsingh077, Mr_KnowNothing,11,401, ALASKA2 Image Steganalysis, Detect secret data hidden within digital images,,
Don't turn into a Smoothie after the Shake-Up, allunia, Laura Fink,275,1834, SIIM-ISIC Melanoma Classification, Identify melanoma in lesion images,,
Baseline U-Net Model (Part 1), kmader, K Scott Mader,16,438, Airbus Ship Detection Challenge, Find ships on satellite images as quickly as possible,,
How to attack a machine learning model?, allunia, Laura Fink,68,620, NIPS 2017: Non-targeted Adversarial Attack, Imperceptibly transform images in ways that fool classification models,,
How to attack a machine learning model?, allunia, Laura Fink,68,620, NIPS 2017: Targeted Adversarial Attack, Develop an adversarial attack that causes image classifiers to predict a specific target class,,
❄ALASKA2 Competition: Multiclass PyTorch EffNetB2, andradaolteanu, Andrada Olteanu,11,977, ALASKA2 Image Steganalysis, Detect secret data hidden within digital images,,
Understanding Clouds EDA, aleksandradeis, Aleksandra Deis,13,858, Understanding Clouds from Satellite Images, Can you classify cloud structures from satellites?,,
Uncover target correlations with Bernoulli Mixture, allunia, Laura Fink,156,701, Human Protein Atlas Image Classification, Classify subcellular protein patterns in human cells,,
U-Net Model with submission, hmendonca, Henrique Mendonça,31,504, Airbus Ship Detection Challenge, Find ships on satellite images as quickly as possible,,
Exploratory Image Analysis, bkamphaus, Ben Kamphaus,12,925, Draper Satellite Image Chronology, Can you put order to space and time?,,
EDA: understanding the dataset with 3D plots, rishabhiitbhu, Rishabh Agrahari,33,565, Lyft 3D Object Detection for Autonomous Vehicles, Can you advance the state of the art in 3D object detection?,,
Overview of popular Image  Augmentation packages, parulpandey, Parul Pandey,17,824, Plant Pathology 2020 - FGVC7, Identify the category of foliar diseases in apple trees,,
[TF.Keras] Melanoma Classification Starter | TabNet, ipythonx, M.Innat,14,957, SIIM-ISIC Melanoma Classification, Identify melanoma in lesion images,,
⚡⚡Melanoma: neat PyTorch Lightning⚡⚡ native AMP, hmendonca, Henrique Mendonça,11,463, SIIM-ISIC Melanoma Classification, Identify melanoma in lesion images,,
Turbo Charging Andrew's Pytorch, ryches, ryches,22,665, Understanding Clouds from Satellite Images, Can you classify cloud structures from satellites?,,
GroupKFold and Stratified GroupKFold Efficientnet, reighns, Hongnan Gao,25,876, SIIM-ISIC Melanoma Classification, Identify melanoma in lesion images,,
Pytorch TPU Transfer Learning Baseline, mobassir, Mobassir,21,555, ALASKA2 Image Steganalysis, Detect secret data hidden within digital images,,
Dog Breed ACGAN - [LB 52], cdeotte, Chris Deotte,17,730, Generative Dog Images, Experiment with creating puppy pics,,
SIIM: Data Augmentation in TF: Hair + Batch Affine, graf10a, Alexey Pronin,13,977, SIIM-ISIC Melanoma Classification, Identify melanoma in lesion images,,
In-Depth Melanoma with modeling, mobassir, Mobassir,11,840, SIIM-ISIC Melanoma Classification, Identify melanoma in lesion images,,
Birdcall Starter: Tablular+Image data, navinmundhra, Navin Mundhra,19,690, Cornell Birdcall Identification, Build tools for bird population monitoring,,
[Keras]:Global Wheat Detection with Mask-RCNN, ipythonx, M.Innat,45,726, Global Wheat Detection, Can you help identify wheat heads using image analysis?,,
GRU & LSTM mix & custom loss - tuning by 3D visual, vbmokin, Vitalii Mokin,29,797, OpenVaccine: COVID-19 mRNA Vaccine Degradation Prediction, Urgent need to bring the COVID-19 vaccine to mass production,,
Exploring Limits of Meta-Features :Tabnet[LB 0.77], tanulsingh077, Mr_KnowNothing,16,660, SIIM-ISIC Melanoma Classification, Identify melanoma in lesion images,,
EfficientDet TPU (Train 1 epoch in 4 min), davidtong, David,53,1378, Global Wheat Detection, Can you help identify wheat heads using image analysis?,,
[GLRec] ResNet50 ArcFace (TF2.2), akensert, akensert,12,524, Google Landmark Recognition 2020, Label famous (and not-so-famous) landmarks in images,,
Bangla Graphemes Image Processing & Deep CNN, shawon10, Ashadullah Shawon,24,541, Bengali.AI Handwritten Grapheme Classification, Classify the components of handwritten Bengali,,
Google Landmark Recogn. Challenge Data Exploration, gpreda, Gabriel Preda,65,406, Google Landmark Recognition Challenge, Label famous (and not-so-famous) landmarks in images,,
Understanding Clouds - EDA and Keras U-Net, dimitreoliveira, DimitreOliveira,13,596, Understanding Clouds from Satellite Images, Can you classify cloud structures from satellites?,,
[Train + Inference] GPU Baseline TTA, demesgal, Ivan,24,615, ALASKA2 Image Steganalysis, Detect secret data hidden within digital images,,
Baseline U-Net on PyTorch, windsurfer, Igor Ivaskiv,11,871, Airbus Ship Detection Challenge, Find ships on satellite images as quickly as possible,,
END2END Object Detection with FasterRCNN, ChristianDenich, from coffee import *,12,849, Global Wheat Detection, Can you help identify wheat heads using image analysis?,,
Object Detection using YOLOV3, sajinpgupta, sajin payandath,13,947, Google AI Open Images - Object Detection Track, Detect objects in varied and complex images.,,
Train CV, abiolatti, Amedeo Biolatti,13,558, SIIM-ISIC Melanoma Classification, Identify melanoma in lesion images,,
Google Landmark Retrieval - Triplet Loss, mattbast, Matt,24,512, Google Landmark Retrieval 2020, Given an image, can you find all of the same landmarks in a dataset?,
First Step for Submission(U-net | TTA), kotarojp, kotaro,15,463, Airbus Ship Detection Challenge, Find ships on satellite images as quickly as possible,,
[Train+Infer] Updated Version EfficientDet, angqx95, aqx,15,776, Global Wheat Detection, Can you help identify wheat heads using image analysis?,,
